gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1348620860	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS294916083	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	ET	Awash NP	e2e717bf-551a-4917-bdc9-4fa0f342c530	9.04098	40.00177							2015-01-25T01:00Z	25	1	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS294916083			CC0_1_0		obsr30770			2016-11-25T03:01Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1348602557	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS295010790	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	ET	Gibe Gorge	e2e717bf-551a-4917-bdc9-4fa0f342c530	8.22969	37.57809							2015-01-28T01:00Z	28	1	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS295010790			CC0_1_0		obsr30770			2016-11-25T03:01Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1348338175	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS294596778	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	ET	Bale Mountains NP	e2e717bf-551a-4917-bdc9-4fa0f342c530	6.89422	39.90363							2015-01-16T01:00Z	16	1	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS294596778			CC0_1_0		obsr30770			2016-11-25T02:56Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1348056181	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS294107247	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	ET	Yared Zema International Hotel	e2e717bf-551a-4917-bdc9-4fa0f342c530	14.12428	38.73156							2015-01-31T01:00Z	31	1	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS294107247			CC0_1_0		obsr96713			2016-11-25T02:51Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1347776093	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS293702973	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	KE	Nairobi NP	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.36835	36.85089							2015-01-28T01:00Z	28	1	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS293702973			CC0_1_0		obsr359008			2016-11-25T02:45Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1347735538	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS293659383	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	KE	Oloololo Escarpment (general)	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.24806	34.99534							2015-01-14T01:00Z	14	1	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS293659383			CC0_1_0		obsr555989			2016-11-25T02:44Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1347575201	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS293503285	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	ET	Simien NP - drive from lodge to Chenek	e2e717bf-551a-4917-bdc9-4fa0f342c530	13.23915	38.10186							2015-01-25T01:00Z	25	1	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS293503285			CC0_1_0		obsr96713			2016-11-25T02:40Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1347574073	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS293503245	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	ET	Hike in vicinity of Simien NP Lodge	e2e717bf-551a-4917-bdc9-4fa0f342c530	13.20598	37.99356							2015-01-26T01:00Z	26	1	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS293503245			CC0_1_0		obsr96713			2016-11-25T02:40Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1347113199	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS292714104	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	KE	Oloololo Escarpment (general)	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.24806	34.99534							2015-01-14T01:00Z	14	1	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS292714104			CC0_1_0		obsr163807			2016-11-25T02:34Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1346996045	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS292830949	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	KE	Mpala Ranch and Research Centre	e2e717bf-551a-4917-bdc9-4fa0f342c530	0.42627	36.86462							2015-01-17T01:00Z	17	1	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS292830949			CC0_1_0		obsr539630			2016-11-25T02:32Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1346954330	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS292469523	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	KE	Oloololo Escarpment (general)	e2e717bf-551a-4917-bdc9-4fa0f342c530	-1.24806	34.99534							2015-01-14T01:00Z	14	1	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS292469523			CC0_1_0		obsr168285			2016-11-25T02:32Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1346926576	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS292600789	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	ET	Hora Lake	e2e717bf-551a-4917-bdc9-4fa0f342c530	8.7635	38.9951							2015-01-22T01:00Z	22	1	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS292600789			CC0_1_0		obsr96713			2016-11-25T02:31Z		TAXON_MATCH_FUZZY
